,0,1
abandon,1,0
abil,1,0
abl,5,5
abrupt,1,0
absent,0,1
absolut,1,6
absorb,2,2
abstract,0,1
abu,1,0
abund,1,1
acceler,10,0
accept,3,2
access,10,2
accommod,1,0
accompani,2,2
accomplish,2,0
accord,17,2
account,17,6
accumul,2,0
accur,1,0
achiev,9,3
acknowledg,3,1
acquisit,1,0
across,6,6
act,5,5
action,6,3
activ,17,3
actual,5,1
ad,0,2
adapt,6,1
add,1,0
addit,3,1
address,6,3
adequ,1,0
adequaci,0,1
adjust,12,0
administr,1,0
admit,1,0
adopt,3,2
advanc,5,0
advantag,3,0
advent,1,0
advers,1,1
advoc,1,0
affair,0,1
affect,2,3
affluenc,1,0
afford,1,1
aftermath,1,0
agenda,1,0
aggrav,1,0
aggreg,6,5
aggress,1,0
ago,6,2
agre,2,0
agreement,7,0
agricultur,1,0
ahead,5,2
ail,0,1
aim,1,8
air,0,2
akin,0,1
al,1,0
albeit,1,0
alien,1,0
align,2,0
alik,1,0
allevi,0,1
alloc,1,4
allof,1,0
allow,6,2
allur,1,0
almost,3,0
along,2,1
alongsid,0,1
alreadi,5,2
also,42,13
alter,3,2
although,11,4
alway,3,4
among,3,0
amongst,0,2
amount,6,6
ampli,1,0
amplifi,1,0
analog,0,2
analys,1,0
analysi,2,3
analyst,3,0
anchor,1,0
andor,1,1
animos,1,0
anniversari,0,1
announc,1,2
annual,10,0
annum,1,0
anoth,2,3
answer,1,0
answeri,1,0
ant,1,1
anticip,4,1
antiterror,1,0
antiterrorist,1,0
anyon,1,1
anyth,0,2
apart,1,0
appar,2,1
appear,8,0
appetit,1,0
appli,2,2
applic,4,1
appoint,1,0
appreci,2,0
approach,22,6
appropri,6,5
april,2,4
area,9,3
argu,1,3
arguabl,1,3
argument,0,1
aris,4,1
arm,1,0
around,2,8
arrang,1,0
array,1,0
arrest,4,0
articl,0,1
articul,1,1
artist,1,0
ascertain,2,0
ascrib,1,0
asean,9,0
aseanchina,1,0
asia,31,0
asian,16,0
asiapacif,1,0
asid,1,0
ask,1,0
askcould,1,0
assembl,1,0
assert,6,0
assess,5,2
asset,1,28
assetmarket,0,1
assetpurchas,0,2
assimil,1,0
assist,1,1
associ,7,0
assum,2,0
assumpt,2,0
assur,1,0
asund,1,0
atlanta,1,0
atrophi,0,1
attach,1,1
attack,2,0
attain,1,0
attempt,4,1
attend,2,0
attent,3,0
attitud,1,0
attract,5,0
attribut,4,0
attun,1,0
auction,0,8
audit,1,0
august,0,2
auspic,0,1
australia,2,0
author,6,16
authoris,0,1
auto,1,0
automat,0,1
